iter	Passed	Remaining
0	0	46
1	0	45
2	0	44
3	0	43
4	1	44
5	1	43
6	1	43
7	1	43
8	2	43
9	2	43
10	2	42
11	2	42
12	3	44
13	3	44
14	3	43
15	3	43
16	3	43
17	4	42
18	4	42
19	4	42
20	4	42
21	5	42
22	5	42
23	5	41
24	5	41
25	6	41
26	6	40
27	6	40
28	7	41
29	7	41
30	7	40
31	7	40
32	8	40
33	8	40
34	8	39
35	8	39
36	8	39
37	9	38
38	9	38
39	9	38
40	9	38
41	10	37
42	10	37
43	10	37
44	10	36
45	10	36
46	11	36
47	11	36
48	11	35
49	11	35
50	12	35
51	12	35
52	12	34
53	12	34
54	13	34
55	13	34
56	13	33
57	13	33
58	14	33
59	14	33
60	14	33
61	14	33
62	15	33
63	15	32
64	15	32
65	15	32
66	16	32
67	16	31
68	16	31
69	16	31
70	17	31
71	17	30
72	17	30
73	17	30
74	18	30
75	18	30
76	18	29
77	18	29
78	19	29
79	19	28
80	19	28
81	19	28
82	20	28
83	20	28
84	20	27
85	20	27
86	20	27
87	21	27
88	21	26
89	21	26
90	21	26
91	22	25
92	22	25
93	22	25
94	22	25
95	23	24
96	23	24
97	23	24
98	23	24
99	23	23
100	24	23
101	24	23
102	24	23
103	24	23
104	25	22
105	25	22
106	25	22
107	25	22
108	26	21
109	26	21
110	26	21
111	26	21
112	26	20
113	27	20
114	27	20
115	27	20
116	27	19
117	28	19
118	28	19
119	28	19
120	28	18
121	29	18
122	29	18
123	29	18
124	29	17
125	29	17
126	30	17
127	30	17
128	30	16
129	30	16
130	31	16
131	31	16
132	31	15
133	31	15
134	32	15
135	32	15
136	32	14
137	32	14
138	32	14
139	33	14
140	33	13
141	33	13
142	33	13
143	34	13
144	34	12
145	34	12
146	34	12
147	34	12
148	35	12
149	35	11
150	35	11
151	35	11
152	36	11
153	36	10
154	36	10
155	36	10
156	36	10
157	37	9
158	37	9
159	37	9
160	37	9
161	38	8
162	38	8
163	38	8
164	38	8
165	38	7
166	39	7
167	39	7
168	39	7
169	39	7
170	40	6
171	40	6
172	40	6
173	40	6
174	41	5
175	41	5
176	41	5
177	41	5
178	41	4
179	42	4
180	42	4
181	42	4
182	42	3
183	43	3
184	43	3
185	43	3
186	43	3
187	44	2
188	44	2
189	44	2
190	44	2
191	44	1
192	45	1
193	45	1
194	45	1
195	45	0
196	46	0
197	46	0
198	46	0
199	46	0
