iter	Passed	Remaining
0	4	4237
1	4	2349
2	5	1715
3	5	1396
4	6	1209
5	6	1092
6	7	1049
7	7	944
8	8	887
9	8	841
10	9	823
11	9	797
12	10	766
13	10	725
14	10	711
15	11	723
16	12	704
17	12	689
18	13	678
19	13	671
20	14	672
21	14	659
22	15	647
23	15	638
24	16	636
25	16	626
26	17	617
27	17	608
28	18	603
29	18	595
30	18	588
31	19	584
32	19	576
33	20	577
34	20	574
35	21	574
36	21	568
37	22	568
38	22	564
39	23	559
40	23	554
41	24	550
42	25	558
43	25	558
44	26	556
45	26	559
46	27	565
47	28	563
48	29	565
49	29	562
50	30	563
51	30	560
52	31	558
53	31	554
54	31	548
55	32	544
56	32	538
57	32	535
58	33	533
59	33	529
60	34	531
61	35	531
62	35	529
63	36	527
64	36	523
65	36	520
66	37	519
67	37	519
68	38	518
69	38	515
70	39	512
71	39	510
72	40	508
73	40	505
74	40	502
75	41	501
76	41	500
77	42	501
78	42	499
79	43	498
80	43	496
81	44	495
82	44	493
83	45	493
84	45	493
85	46	492
86	46	491
87	47	488
88	47	486
89	47	483
90	48	482
91	48	481
92	49	480
93	49	480
94	50	480
95	50	477
96	51	477
97	51	476
98	52	474
99	52	473
100	53	472
101	53	470
102	53	468
103	54	467
104	54	466
105	55	465
106	55	463
107	56	462
108	56	463
109	57	462
110	57	461
111	57	459
112	58	458
113	58	458
114	59	455
115	59	454
116	59	452
117	60	452
118	60	451
119	61	450
120	61	449
121	62	449
122	62	447
123	63	445
124	63	445
125	64	445
126	64	443
127	64	442
128	65	441
129	65	440
130	66	439
131	66	438
132	67	439
133	68	440
134	68	439
135	69	438
136	69	438
137	70	439
138	70	437
139	70	435
140	71	434
141	71	433
142	72	432
143	72	432
144	73	431
145	73	431
146	74	431
147	74	430
148	75	429
149	75	428
150	76	428
151	76	427
152	77	426
153	77	425
154	77	424
155	78	423
156	78	422
157	79	422
158	80	423
159	80	422
160	81	422
161	81	422
162	82	421
163	82	420
164	82	419
165	83	418
166	83	417
167	84	417
168	84	416
169	85	415
170	85	414
171	85	413
172	86	412
173	86	411
174	86	409
175	87	409
176	87	408
177	88	406
178	88	405
179	88	403
180	89	402
181	89	401
182	89	400
183	90	399
184	90	399
185	91	398
186	91	397
187	92	397
188	92	396
189	92	396
190	93	395
191	93	394
192	94	394
193	94	394
194	95	392
195	95	391
196	95	390
197	96	389
198	96	390
199	97	389
200	97	388
201	98	388
202	98	387
203	99	386
204	99	386
205	99	385
206	100	384
207	100	383
208	101	383
209	101	383
210	102	382
211	102	382
212	103	380
213	103	379
214	103	379
215	104	378
216	104	378
217	105	377
218	105	377
219	106	376
220	106	376
221	107	376
222	107	376
223	108	375
224	109	375
225	109	375
226	110	374
227	110	375
228	111	374
229	112	374
230	112	374
231	112	373
232	113	372
233	113	371
234	113	371
235	114	369
236	114	369
237	115	368
238	115	368
239	116	368
240	116	367
241	117	367
242	117	366
243	118	365
244	118	364
245	118	364
246	119	363
247	119	363
248	120	362
249	120	362
250	121	361
251	121	360
252	121	359
253	122	358
254	122	357
255	122	356
256	123	356
257	123	355
258	124	355
259	124	354
260	125	353
261	125	353
262	125	352
263	126	352
264	127	352
265	127	351
266	127	350
267	128	349
268	128	350
269	129	349
270	129	349
271	130	348
272	130	347
273	131	347
274	131	347
275	132	346
276	132	345
277	132	345
278	133	344
279	133	343
280	134	343
281	134	343
282	135	342
283	135	341
284	135	341
285	136	340
286	136	339
287	137	339
288	137	338
289	138	338
290	138	337
291	138	336
292	139	336
293	139	335
294	140	334
295	140	334
296	140	333
297	141	332
298	141	332
299	142	331
300	142	331
301	143	330
302	143	329
303	143	329
304	144	329
305	145	329
306	145	328
307	146	328
308	146	327
309	147	327
310	147	326
311	148	326
312	148	325
313	148	325
314	149	324
315	149	324
316	150	323
317	150	323
318	151	322
319	151	321
320	151	321
321	152	320
322	152	320
323	153	320
324	153	319
325	154	318
326	154	318
327	155	318
328	155	317
329	156	317
330	157	318
331	158	318
332	158	318
333	159	317
334	160	317
335	160	317
336	161	316
337	161	316
338	162	316
339	163	316
340	163	316
341	164	317
342	165	317
343	166	317
344	166	316
345	167	315
346	167	314
347	167	314
348	168	313
349	168	312
350	168	311
351	168	311
352	169	310
353	169	310
354	170	309
355	170	308
356	171	308
357	171	307
358	172	307
359	172	306
360	172	306
361	173	305
362	173	304
363	174	304
364	174	304
365	175	303
366	175	302
367	176	303
368	176	302
369	177	301
370	177	301
371	178	300
372	178	299
373	178	299
374	179	298
375	179	298
376	180	297
377	180	297
378	181	296
379	181	295
380	181	295
